INFORMAÇÕES SOBRE A DEMANDA - DEZEMBRO/2019;;;;;;;
;;;;;;;
DEMANDA DE PASSAGEIROS POR ESTAÇÃO* -  MÉDIA DOS DIAS ÚTEIS (em milhares);;;;;;;
;;;;;;;
Linha 1 - Azul  ;;Linha 2 - Verde  ;;Linha 3 - Vermelha  ;;Linha 15 - Prata;
Estação ;Entradas ;Estação ;Entradas;Estação ;Entradas;Estação ;Entradas
Jabaquara;87;Vila Prudente5;66;Corinthians-Itaquera;89;Vila Prudente6;47
Conceição ;37;Tamanduateí;74;Artur Alvim;63;Oratório;6
São Judas ;19;Sacomã;43;Patriarca ;24;São Lucas;5
Saúde ;34;Alto do Ipiranga ;19;Guilhermina-Esperança ;24;Camilo Haddad;3
Praça da Árvore ;21;Santos-Imigrantes ;15;Vila Matilde ;28;Vila Tolstói;5
Santa Cruz;112;Chácara Klabin ;75;Penha ;33;Vila União;6
Vila Mariana ;21;Ana Rosa²;74;Carrão ;48;Jardim Planalto;13
Ana Rosa¹;85;Paraíso²;77;Tatuapé;90;Sapopemba;2
Paraíso¹;106;Brigadeiro ;61;Belém ;42;Fazenda da Juta;1
Vergueiro ;26;Trianon-Masp ;54;Bresser-Moóca ;37;São Mateus;3
São Joaquim ;31;Consolação;124;Brás;110;- ;-
Liberdade ;26;Clínicas ;24;Pedro II ;22;- ;-
Sé³;222;Santuário N.S. de Fátima-Sumaré ;13;Sé4;253;- ;-
São Bento;79;Vila Madalena;26;Anhangabaú;64;- ;-
Luz;146;- ;-;República;155;- ;-
Tiradentes ;15;- ;-;Santa Cecília ;25;- ;-
Armênia ;26;- ;-;Marechal Deodoro ;33;- ;-
Portuguesa-Tietê ;62;- ;-;Palmeiras-Barra Funda;192;- ;-
Carandiru ;14;- ;-;- ;- ;- ;-
Santana ;61;- ;-;- ;- ;- ;-
Jardim São Paulo-Ayrton Senna;14;- ;-;- ;- ;- ;-
Parada Inglesa ;15;- ;-;- ;- ;- ;-
Tucuruvi ;69;- ;-;- ;- ;- ;-
TOTAL;1330;TOTAL;745;TOTAL;1332;TOTAL;87
*Corresponde à soma das entradas pelas linhas de bloqueios com as transferências entre linhas nas Estações Sé, Paraíso, Ana Rosa e Vila Prudente.;;;;;;;
¹ Corresponde à soma dos usuários que embarcaram na Linha 1-Azul com as transferências da Linha 2-Verde;;;;;;;
² Corresponde à soma dos usuários que embarcaram na Linha 2-Verde com as transferências da Linha 1-Azul;;;;;;;
3 Corresponde à soma dos usuários que embarcaram na Linha 1-Azul com as transferências da Linha 3-Vermelha;;;;;;;
4 Corresponde à soma dos usuários que embarcaram na Linha 3-Vermelha com as transferências da Linha 1-Azul;;;;;;;
5 Corresponde à soma dos usuários que embarcaram na Linha 2-Verde com as transferências da Linha 15-Prata;;;;;;;
6 Corresponde à soma dos usuários que embarcaram na Linha 15-Prata com as transferências da Linha 2-Verde;;;;;;;
            Dez estações de maior movimento (Considerou-se a somatória dos valores das estações Paraíso e Ana Rosa);;;;;;;
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 27/01/2020;;;;;;;
