INFORMAÇÕES SOBRE A DEMANDA - NOVEMBRO/2020;;;;;;;;
;;;;;;;;
DEMANDA DE PASSAGEIROS POR ESTAÇÃO* -  MÉDIA DOS DIAS ÚTEIS (em milhares) **;;;;;;;;
;;;;;;;;
Linha 1 - Azul  ;;Linha 2 - Verde  ;;Linha 3 - Vermelha  ;;Linha 15 - Prata;;
Estação ;Entradas ;Estação ;Entradas;Estação ;Entradas;Estação ;Entradas;
Jabaquara;49;Vila Prudente5;41;Corinthians-Itaquera;57;Vila Prudente6;31;
Conceição ;16;Tamanduateí;39;Artur Alvim;40;Oratório;4;
São Judas ;9;Sacomã;25;Patriarca ;14;São Lucas;3;
Saúde ;17;Alto do Ipiranga ;10;Guilhermina-Esperança ;13;Camilo Haddad;2;
Praça da Árvore ;10;Santos-Imigrantes ;8;Vila Matilde ;17;Vila Tolstói;3;
Santa Cruz;64;Chácara Klabin ;41;Penha ;19;Vila União;3;
Vila Mariana ;10;Ana Rosa²;39;Carrão ;27;Jardim Planalto;3;
Ana Rosa¹;43;Paraíso²;40;Tatuapé;54;Sapopemba;5;
Paraíso¹;52;Brigadeiro ;26;Belém ;26;Fazenda da Juta;2;
Vergueiro ;16;Trianon-Masp ;22;Bresser-Moóca ;22;São Mateus;11;
São Joaquim ;13;Consolação;52;Brás;75;- ;- ;
Liberdade ;12;Clínicas ;14;Pedro II ;14;- ;- ;
Sé³;127;Santuário N.S. de Fátima-Sumaré ;5;Sé4;133;- ;- ;
São Bento;42;Vila Madalena;10;Anhangabaú;32;- ;- ;
Luz;74;- ;- ;República;78;- ;- ;
Tiradentes ;8;- ;- ;Santa Cecília ;17;- ;- ;
Armênia ;15;- ;- ;Marechal Deodoro ;19;- ;- ;
Portuguesa-Tietê ;32;- ;- ;Palmeiras-Barra Funda;97;- ;- ;
Carandiru ;7;- ;- ;- ;- ;- ;- ;
Santana ;36;- ;- ;- ;- ;- ;- ;
Jardim São Paulo-Ayrton Senna;6;- ;- ;- ;- ;- ;- ;
Parada Inglesa ;7;- ;- ;- ;- ;- ;- ;
Tucuruvi ;39;- ;- ;- ;- ;- ;- ;
TOTAL;703;TOTAL;374;TOTAL;754;TOTAL;66;
*Corresponde à soma das entradas pelas linhas de bloqueios com as transferências entre linhas nas Estações Sé, Paraíso, Ana Rosa e Vila Prudente.;;;;;;;;
¹ Corresponde à soma dos usuários que embarcaram na Linha 1-Azul com as transferências da Linha 2-Verde;;;;;;;;
² Corresponde à soma dos usuários que embarcaram na Linha 2-Verde com as transferências da Linha 1-Azul;;;;;;;;
3 Corresponde à soma dos usuários que embarcaram na Linha 1-Azul com as transferências da Linha 3-Vermelha;;;;;;;;
4 Corresponde à soma dos usuários que embarcaram na Linha 3-Vermelha com as transferências da Linha 1-Azul;;;;;;;;
5 Corresponde à soma dos usuários que embarcaram na Linha 2-Verde com as transferências da Linha 15-Prata;;;;;;;;
6 Corresponde à soma dos usuários que embarcaram na Linha 15-Prata com as transferências da Linha 2-Verde;;;;;;;;
            Dez estações de maior movimento (Considerou-se a somatória dos valores das estações Paraíso e Ana Rosa);;;;;;;;
** Demanda reduzida devido à pandemia do novo Coronavírus anunciada pela Organização Mundial da Saúde em 11/03;;;;;;;;
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 21/12/2020;;;;;;;;
